iter	Passed	Remaining
0	94	94217
1	185	92607
2	260	86549
3	357	89026
4	658	13098555	776	12856766	916	129976
7	1039	128878	8	1202	132361
9	1297	128498110	1397	125611	11	1510	124357
12	1636	124213	13	1770	124706
14	1896	124563
15	1937	119116116	2175	125811
17	2283	124561
18	2411	124517
19	2528	123914
20	2661	124093
21	2765	122929
22	2888	122693
23	3021	122875
24	3275	127736
25	3341	125170
26	3480	125429
27	3571	123982
28	3769	126212
29	3824	123673
30	3945	123325
31	4031	121966
32	4185	122648
33	4298	122122
34	4400	121331
35	4456	119338
36	4553	118511
37	4734	119862
38	4741	116829
39	4874	116998
40	4974	116345
41	5153	117544
42	5264	117167
43	5319	115588
44	5478	116263
45	5560	115320
46	5737	116335
47	5904	117096
48	6148	119327
49	6252	118802
50	6405	119195
51	6533	119109
52	6634	118536
53	6744	118145
54	7013	120505
55	7050	118849
56	7225	119538
57	7416	120461
58	7544	120336
59	7700	120643
60	7917	121878
61	8060	121940
62	8248	122685
63	8386	122658
64	8499	122257
65	8638	122242
66	8854	123303
67	8965	122878
68	9206	124216
69	9300	123566
70	9423	123306
71	9478	122166
72	9611	122052
73	9664	120934
74	9849	121473
75	9959	121084
76	10007	119959
77	10151	119994
78	10288	119942
79	10463	120329
80	10616	120449
81	10685	119625
82	10816	119506
83	10892	118785
84	10994	118351
85	11064	117593
86	11139	116905
87	11200	116076
88	11258	115245
89	1190	11370	1190	1191	11451	1191	1192	11520	1192	11575	112891
93	11660	112389
94	11716	111615
95	11765	110791
96	11847	110288
97	11941	109907
98	12021	109405
99	12091	108820
100	12168	108312
101	12247	107823
102	12318	107280
103	12398	106816
104	12476	106347
105	12568	105999
106	12643	105518
107	12725	105101
108	12783	104492
109	12838	103872
110	12914	103431
111	13009	103148
112	13097	102808
113	13164	102312
114	13219	101732
115	13288	101267
116	13373	100930
117	13426	100360
118	13538	100233
119	13611	99816
120	13685	99415
121	13737	98867
122	13828	98596
123	13888	98114
124	13941	97591
125	14016	97228
126	14093	96880
127	14173	96556
128	14232	96096
129	14305	95735
130	14357	95243
131	14420	94822
132	14469	94325
133	14537	93948
134	14614	93638
135	14674	93227
136	14729	92784
137	14797	92430
138	14849	91979
139	14922	91667
140	14980	91266
141	15021	90766
142	15069	90310
143	15143	90019
144	15209	89682
145	15285	89409
146	15342	89030
147	15397	88640
148	15453	88260
149	15523	87964
150	15596	87693
151	15663	87385
152	15727	87065
153	15783	86705
154	15836	86336
155	15944	86262
156	16009	85961
157	16075	85670
158	16124	85286
159	16174	84914
160	16231	84587
161	16283	84234
162	16344	83928
163	16407	83640
164	16584	83927
165	16685	83830
166	16743	83515
167	16820	83302
168	16894	83073
169	16956	82787
170	17016	82494
171	17094	82293
172	17150	81987
173	17212	81711
174	17291	81517
175	17373	81337
176	17446	81119
177	17495	80794
178	17554	80516
179	17612	80233
180	17677	79989
181	17736	79714
182	17816	79543
183	17885	79319
184	17952	79089
185	18014	78836
186	18067	78549
187	18122	78275
188	18186	78040
189	18260	77847
190	18315	77577
191	18354	77241
192	18407	76968
193	18472	76747
194	18550	76578
195	18594	76275
196	18640	75982
197	18709	75781
198	18758	75504
199	18808	75232
200	18869	75009
201	18940	74822
202	18988	74549
203	19038	74286
204	19116	74133
205	19168	73882
206	19233	73680
207	19282	73420
208	19348	73228
209	19417	73046
210	19478	72838
211	19544	72645
212	19595	72402
213	19646	72160
214	19702	71935
215	19759	71719
216	19819	71515
217	19875	71297
218	19938	71105
219	20000	70912
220	20052	70683
221	20103	70452
222	20162	70253
223	20215	70031
224	20272	69828
225	20327	69615
226	20383	69411
227	20445	69228
228	20493	68996
229	20540	68766
230	20578	68505
231	20628	68287
232	20692	68115
233	20747	67917
234	20794	67694
235	20848	67492
236	20893	67263
237	20945	67061
238	20989	66831
239	21030	66597
240	21077	66380
241	21118	66146
242	21167	65942
243	21210	65717
244	21261	65520
245	21299	65282
246	21344	65068
247	21398	64886
248	21441	64668
249	21490	64471
250	21538	64271
251	21590	64085
252	21637	63885
253	21675	63662
254	21712	63435
255	21754	63223
256	21794	63010
257	21844	62823
258	21891	62631
259	21930	62417
260	21965	62194
261	22018	62021
262	22056	61809
263	22101	61617
264	22140	61409
265	22181	61208
266	22222	61008
267	22266	60816
268	22298	60595
269	22340	60401
270	22373	60186
271	22409	59978
272	22458	59806
273	22500	59619
274	22532	59404
275	22572	59213
276	22608	59009
277	22645	58812
278	22687	58629
279	22733	58456
280	22781	58292
281	22834	58139
282	22871	57947
283	22912	57765
284	22958	57598
285	22999	57419
286	23045	57252
287	23095	57097
288	23134	56915
289	23177	56743
290	23219	56571
291	23260	56399
292	23299	56220
293	23339	56045
294	23383	55883
295	23423	55709
296	23460	55530
297	23502	55365
298	23536	55181
299	23576	55012
300	23622	54858
301	23671	54710
302	23713	54548
303	23745	54363
304	23783	54195
305	23839	54067
306	23882	53909
307	23933	53773
308	23976	53617
309	24014	53452
310	24048	53278
311	24083	53106
312	24128	52958
313	24169	52803
314	24219	52667
315	24262	52517
316	24304	52365
317	24342	52206
318	24381	52049
319	24413	51879
320	24455	51729
321	24503	51594
322	24544	51444
323	24579	51284
324	24623	51141
325	24658	50980
326	24700	50837
327	24744	50695
328	24785	50549
329	24822	50397
330	24881	50288
331	24942	50185
332	24979	50033
333	25017	49885
334	25066	49759
335	25114	49630
336	25162	49503
337	25206	49369
338	25256	49246
339	25311	49133
340	25361	49013
341	25411	48890
342	25461	48769
343	25517	48661
344	25569	48545
345	25617	48420
346	25666	48301
347	25714	48178
348	25771	48072
349	25820	47952
350	25864	47824
351	25914	47705
352	25961	47583
353	26006	47457
354	26051	47332
355	26110	47232
356	26165	47126
357	26212	47006
358	26267	46901
359	26325	46801
360	26364	46668
361	26429	46580
362	26472	46454
363	26518	46334
364	26570	46226
365	26617	46108
366	26659	45982
367	26712	45875
368	26754	45750
369	26842	45705
370	26894	45596
371	26945	45489
372	26995	45379
373	27049	45275
374	27095	45158
375	27144	45048
376	27185	44924
377	27226	44800
378	27275	44691
379	27319	44573
380	27366	44462
381	27418	44358
382	27467	44249
383	27510	44132
384	27557	44020
385	27594	43893
386	27646	43791
387	27708	43705
388	27754	43594
389	27839	43544
390	27897	43452
391	27948	43349
392	28000	43247
393	28049	43141
394	28089	43023
